,State_left,year_left,quarter_left,January 1_left,Unnamed: 4_left,Unnamed: 5_left,Unnamed: 6_left,Unnamed: 7_left,Unnamed: 8_left,Unnamed: 9_left,State_right,year_right,quarter_right,January 1_right,Unnamed: 4_right,Unnamed: 5_right,Unnamed: 6_right,Unnamed: 7_right,Unnamed: 8_right,Unnamed: 9_right
4,Alabama,2020,Jan-Mar,5500,7000,410,6,1900,780,11,,,,,,,,,,
5,Arizona,2020,Jan-Mar,29000,31000,8500,27,3000,120,(Z),,,,,,,,,,
6,Arkansas,2020,Jan-Mar,16500,16500,1600,10,1800,30,(Z),,,,,,,,,,
7,California,2020,Jan-Mar,1350000,1710000,230000,13,240000,66000,4,,,,,,,,,,
8,Colorado,2020,Jan-Mar,4500,13000,670,5,4000,500,4,,,,,,,,,,
9,Connecticut,2020,Jan-Mar,3700,3800,330,9,360,-,-,,,,,,,,,,
10,Florida,2020,Jan-Mar,295000,305000,30000,10,41000,8000,3,,,,,,,,,,
11,Georgia,2020,Jan-Mar,115000,119000,14500,12,41000,22000,18,,,,,,,,,,
12,Hawaii,2020,Jan-Mar,16000,16000,1800,11,1300,2200,14,,,,,,,,,,
13,Idaho,2020,Jan-Mar,156000,168000,18500,11,4400,920,1,,,,,,,,,,
15,Illinois,2020,Jan-Mar,11500,11500,2400,21,2900,160,1,,,,,,,,,,
16,Indiana,2020,Jan-Mar,11000,11000,1600,15,1500,420,4,,,,,,,,,,
17,Iowa,2020,Jan-Mar,9000,17000,1600,9,6000,420,2,,,,,,,,,,
18,Kansas,2020,Jan-Mar,4500,6500,760,12,2000,130,2,,,,,,,,,,
19,Kentucky,2020,Jan-Mar,7000,11000,1200,11,1400,120,1,,,,,,,,,,
20,Louisiana,2020,Jan-Mar,44000,48000,4800,10,9000,20000,42,,,,,,,,,,
21,Maine,2020,Jan-Mar,1300,1300,160,12,460,-,-,,,,,,,,,,
22,Maryland,2020,Jan-Mar,7000,7000,1900,27,1900,30,(Z),,,,,,,,,,
23,Massachusetts,2020,Jan-Mar,3800,3800,470,12,1100,100,3,,,,,,,,,,
24,Michigan,2020,Jan-Mar,60000,60000,7000,12,10000,100,(Z),,,,,,,,,,
26,Minnesota,2020,Jan-Mar,21000,58000,920,2,1300,40,(Z),,,,,,,,,,
27,Mississippi,2020,Jan-Mar,26000,28000,5000,18,16000,660,2,,,,,,,,,,
28,Missouri,2020,Jan-Mar,8500,8500,5500,65,3400,-,-,,,,,,,,,,
29,Montana,2020,Jan-Mar,18000,47000,150,(Z),500,-,-,,,,,,,,,,
30,Nebraska,2020,Jan-Mar,9000,17000,670,4,70,-,-,,,,,,,,,,
31,New Jersey,2020,Jan-Mar,6500,6500,430,7,800,40,1,,,,,,,,,,
32,New Mexico,2020,Jan-Mar,6000,6000,40,1,120,-,-,,,,,,,,,,
33,New York,2020,Jan-Mar,29000,36000,2500,7,230,370,1,,,,,,,,,,
34,North Carolina,2020,Jan-Mar,15000,24000,2500,10,2600,490,2,,,,,,,,,,
35,North Dakota,2020,Jan-Mar,53000,82000,7500,9,-,-,-,,,,,,,,,,
37,Ohio,2020,Jan-Mar,15500,21000,6000,29,840,1100,5,,,,,,,,,,
38,Oklahoma,2020,Jan-Mar,19500,19500,700,4,5000,-,-,,,,,,,,,,
39,Oregon,2020,Jan-Mar,97000,108000,4800,4,9000,1700,2,,,,,,,,,,
40,Pennsylvania,2020,Jan-Mar,18500,26000,2100,8,370,320,1,,,,,,,,,,
41,South Carolina,2020,Jan-Mar,13000,17000,1400,8,2700,1100,6,,,,,,,,,,
42,South Dakota,2020,Jan-Mar,20000,20000,1200,6,20,-,-,,,,,,,,,,
43,Tennessee,2020,Jan-Mar,8000,14000,2700,19,2200,130,1,,,,,,,,,,
44,Texas,2020,Jan-Mar,235000,340000,35000,10,83000,24000,7,,,,,,,,,,
45,Utah,2020,Jan-Mar,12000,19000,1100,6,3000,-,-,,,,,,,,,,
46,Vermont,2020,Jan-Mar,6500,7000,520,7,500,70,1,,,,,,,,,,
48,Virginia,2020,Jan-Mar,6000,7000,1100,16,1600,60,1,,,,,,,,,,
49,Washington,2020,Jan-Mar,49000,74000,1500,2,580,150,(Z),,,,,,,,,,
50,West Virginia,2020,Jan-Mar,6000,8000,1100,14,600,680,9,,,,,,,,,,
51,Wisconsin,2020,Jan-Mar,16000,28000,1900,7,700,370,1,,,,,,,,,,
52,Wyoming,2020,Jan-Mar,4000,17000,140,1,450,60,(Z),,,,,,,,,,
54,Other States 5/,2020,Jan-Mar,7800,7800,440,6,560,20,(Z),,,,,,,,,,
56,United States,2020,Jan-Mar,2876100,(X),415110,14,511160,153390,5,,,,,,,,,,
70,State,2020,Apr-Jun,April 1,,,,,,,,,,,,,,,,
75,Alabama,2020,Apr-Jun,8500,8500,4100,48,4700,2600,31,,,,,,,,,,
76,Arizona,2020,Apr-Jun,26000,26000,1300,5,14500,4700,18,,,,,,,,,,
77,Arkansas,2020,Apr-Jun,17000,17000,1800,11,4900,800,5,,,,,,,,,,
78,California,2020,Apr-Jun,1200000,1200000,100000,8,175000,240000,20,,,,,,,,,,
79,Colorado,2020,Apr-Jun,16500,27000,2100,8,7000,2800,10,,,,,,,,,,
80,Connecticut,2020,Apr-Jun,3900,4300,30,1,1200,450,10,,,,,,,,,,
81,Florida,2020,Apr-Jun,310000,310000,40000,13,25000,18500,6,,,,,,,,,,
82,Georgia,2020,Apr-Jun,145000,147000,10000,7,18500,20000,14,,,,,,,,,,
83,Hawaii,2020,Apr-Jun,15500,15500,-,-,3000,2300,15,,,,,,,,,,
84,Idaho,2020,Apr-Jun,48000,81000,18000,22,22000,29000,36,,,,,,,,,,
86,Illinois,2020,Apr-Jun,12000,12000,1500,13,4200,1700,14,,,,,,,,,,
87,Indiana,2020,Apr-Jun,11000,12000,920,8,4500,1800,15,,,,,,,,,,
88,Iowa,2020,Apr-Jun,21000,29000,3600,12,17000,4700,16,,,,,,,,,,
89,Kansas,2020,Apr-Jun,7500,8000,680,9,1900,1800,23,,,,,,,,,,
90,Kentucky,2020,Apr-Jun,11000,11000,1200,11,4200,3500,32,,,,,,,,,,
91,Louisiana,2020,Apr-Jun,53000,53000,1800,3,2300,4700,9,,,,,,,,,,
92,Maine,2020,Apr-Jun,1600,22000,700,3,520,110,1,,,,,,,,,,
93,Maryland,2020,Apr-Jun,7000,8000,670,8,4400,1700,21,,,,,,,,,,
94,Massachusetts,2020,Apr-Jun,4400,13500,630,5,870,540,4,,,,,,,,,,
95,Michigan,2020,Apr-Jun,64000,85000,1500,2,11000,10000,12,,,,,,,,,,
97,Minnesota,2020,Apr-Jun,59000,126000,13000,10,9000,2600,2,,,,,,,,,,
98,Mississippi,2020,Apr-Jun,34000,37000,4500,12,1500,570,2,,,,,,,,,,
99,Missouri,2020,Apr-Jun,6500,6500,390,6,2800,1200,18,,,,,,,,,,
100,Montana,2020,Apr-Jun,48000,120000,2000,2,18000,16000,13,,,,,,,,,,
101,Nebraska,2020,Apr-Jun,16500,41000,1900,5,7000,1100,3,,,,,,,,,,
102,New Jersey,2020,Apr-Jun,7000,21000,710,3,1500,650,3,,,,,,,,,,
103,New Mexico,2020,Apr-Jun,3100,6000,1000,17,400,40,1,,,,,,,,,,
104,New York,2020,Apr-Jun,34000,58000,4000,7,6000,2800,5,,,,,,,,,,
105,North Carolina,2020,Apr-Jun,24000,25000,1600,6,6000,1300,5,,,,,,,,,,
106,North Dakota,2020,Apr-Jun,67000,415000,20000,5,53000,38000,9,,,,,,,,,,
108,Ohio,2020,Apr-Jun,15500,16500,1700,10,9500,3700,22,,,,,,,,,,
109,Oklahoma,2020,Apr-Jun,16000,16000,1500,9,6000,3100,19,,,,,,,,,,
110,Oregon,2020,Apr-Jun,89000,96000,2500,3,11000,19000,20,,,,,,,,,,
111,Pennsylvania,2020,Apr-Jun,24000,28000,930,3,5500,1500,5,,,,,,,,,,
112,South Carolina,2020,Apr-Jun,18500,18500,1700,9,2700,2500,14,,,,,,,,,,
113,South Dakota,2020,Apr-Jun,9500,220000,4600,2,10000,14500,7,,,,,,,,,,
114,Tennessee,2020,Apr-Jun,13500,13500,1200,9,4200,3200,24,,,,,,,,,,
115,Texas,2020,Apr-Jun,360000,385000,35000,9,15000,136000,35,,,,,,,,,,
116,Utah,2020,Apr-Jun,21000,31000,2800,9,8500,13000,42,,,,,,,,,,
117,Vermont,2020,Apr-Jun,7000,7000,200,3,680,110,2,,,,,,,,,,
119,Virginia,2020,Apr-Jun,7500,8000,1200,15,4800,1300,16,,,,,,,,,,
120,Washington,2020,Apr-Jun,50000,114000,3500,3,5000,3300,3,,,,,,,,,,
121,West Virginia,2020,Apr-Jun,7500,7500,570,8,1600,1500,20,,,,,,,,,,
122,Wisconsin,2020,Apr-Jun,27000,55000,1700,3,14000,4600,8,,,,,,,,,,
123,Wyoming,2020,Apr-Jun,17500,30000,2000,7,4400,2100,7,,,,,,,,,,
125,Other States 5/,2020,Apr-Jun,6500,9840,260,3,1400,1500,15,,,,,,,,,,
127,United States,2020,Apr-Jun,2972000,(X),300990,10,536170,626870,21,,,,,,,,,,
140,State,2020,Jul-Sep,July 1,,,,,,,,,,,,,,,,
145,Alabama,2020,Jul-Sep,9000,19000,3700,19,1800,990,5,,,,,,,,,,
146,Arizona,2020,Jul-Sep,28000,30000,8000,27,2600,1800,6,,,,,,,,,,
147,Arkansas,2020,Jul-Sep,19000,22000,1700,8,1500,390,2,,,,,,,,,,
148,California,2020,Jul-Sep,640000,700000,69000,10,61000,108000,15,,,,,,,,,,
149,Colorado,2020,Jul-Sep,29000,29000,7000,24,3800,5500,19,,,,,,,,,,
150,Connecticut,2020,Jul-Sep,4700,4700,300,6,130,150,3,,,,,,,,,,
151,Florida,2020,Jul-Sep,220000,230000,29000,13,36000,31000,13,,,,,,,,,,
152,Georgia,2020,Jul-Sep,150000,163000,23000,14,22000,35000,21,,,,,,,,,,
153,Hawaii,2020,Jul-Sep,18500,18500,500,3,4000,3400,18,,,,,,,,,,
154,Idaho,2020,Jul-Sep,70000,85000,11000,13,18500,8500,10,,,,,,,,,,
156,Illinois,2020,Jul-Sep,14000,14000,1400,10,770,690,5,,,,,,,,,,
157,Indiana,2020,Jul-Sep,15000,15000,1600,11,1200,2700,18,,,,,,,,,,
158,Iowa,2020,Jul-Sep,34000,38000,1800,5,1100,2900,8,,,,,,,,,,
159,Kansas,2020,Jul-Sep,7000,7000,910,13,600,730,10,,,,,,,,,,
160,Kentucky,2020,Jul-Sep,11500,12000,1400,12,800,510,4,,,,,,,,,,
161,Louisiana,2020,Jul-Sep,48000,48000,2600,5,1200,3100,6,,,,,,,,,,
162,Maine,2020,Jul-Sep,9500,10000,1500,15,700,820,8,,,,,,,,,,
163,Maryland,2020,Jul-Sep,7500,7500,690,9,1200,220,3,,,,,,,,,,
164,Massachusetts,2020,Jul-Sep,11000,11000,330,3,840,810,7,,,,,,,,,,
165,Michigan,2020,Jul-Sep,96000,106000,34000,32,37000,11000,10,,,,,,,,,,
167,Minnesota,2020,Jul-Sep,114000,119000,10500,9,1800,3700,3,,,,,,,,,,
168,Mississippi,2020,Jul-Sep,26000,29000,1600,6,2500,130,(Z),,,,,,,,,,
169,Missouri,2020,Jul-Sep,8000,8000,730,9,290,820,10,,,,,,,,,,
170,Montana,2020,Jul-Sep,138000,139000,8500,6,6500,28000,20,,,,,,,,,,
171,Nebraska,2020,Jul-Sep,47000,48000,4300,9,3000,3100,6,,,,,,,,,,
172,New Jersey,2020,Jul-Sep,17500,18500,2300,12,1500,1800,10,,,,,,,,,,
173,New Mexico,2020,Jul-Sep,5500,5500,1600,29,3300,760,14,,,,,,,,,,
174,New York,2020,Jul-Sep,61000,61000,3600,6,5500,1600,3,,,,,,,,,,
175,North Carolina,2020,Jul-Sep,26000,27000,4600,17,950,5500,20,,,,,,,,,,
176,North Dakota,2020,Jul-Sep,455000,495000,53000,11,57000,33000,7,,,,,,,,,,
178,Ohio,2020,Jul-Sep,22000,22000,1900,9,730,2100,10,,,,,,,,,,
179,Oklahoma,2020,Jul-Sep,7000,8000,1100,14,150,930,12,,,,,,,,,,
180,Oregon,2020,Jul-Sep,102000,124000,12000,10,13000,28000,23,,,,,,,,,,
181,Pennsylvania,2020,Jul-Sep,27000,27000,2200,8,2500,1200,4,,,,,,,,,,
182,South Carolina,2020,Jul-Sep,12000,13500,1800,13,1200,2200,16,,,,,,,,,,
183,South Dakota,2020,Jul-Sep,230000,235000,66000,28,30000,12500,5,,,,,,,,,,
184,Tennessee,2020,Jul-Sep,15000,15000,2200,15,460,860,6,,,,,,,,,,
185,Texas,2020,Jul-Sep,167000,173000,9500,5,9000,7500,4,,,,,,,,,,
186,Utah,2020,Jul-Sep,24000,30000,2000,7,1500,2300,8,,,,,,,,,,
187,Vermont,2020,Jul-Sep,7500,7500,210,3,700,180,2,,,,,,,,,,
189,Virginia,2020,Jul-Sep,8500,8500,1200,14,910,730,9,,,,,,,,,,
190,Washington,2020,Jul-Sep,94000,104000,7000,7,5000,8500,8,,,,,,,,,,
191,West Virginia,2020,Jul-Sep,8000,8000,540,7,210,800,10,,,,,,,,,,
192,Wisconsin,2020,Jul-Sep,68000,68000,8000,12,970,9000,13,,,,,,,,,,
193,Wyoming,2020,Jul-Sep,33000,34000,3600,11,640,7500,22,,,,,,,,,,
195,Other States 5/,2020,Jul-Sep,10630,11630,2080,18,2230,700,6,,,,,,,,,,
197,United States,2020,Jul-Sep,3175330,(X),411490,13,348280,381620,12,,,,,,,,,,
210,State,2020,Oct-Dec,October 1,,,,,,,,,,,,,,,,
215,Alabama,2020,Oct-Dec,17000,17000,1100,6,750,60,(Z),,,,,,,,,,
216,Arizona,2020,Oct-Dec,25000,27000,4000,15,5500,600,2,,,,,,,,,,
217,Arkansas,2020,Oct-Dec,22000,23000,2100,9,380,780,3,,,,,,,,,,
218,California,2020,Oct-Dec,700000,1400000,164000,12,120000,58000,4,,,,,,,,,,
219,Colorado,2020,Oct-Dec,19000,19000,5000,26,930,20,(Z),,,,,,,,,,
220,Connecticut,2020,Oct-Dec,4300,4600,500,11,20,20,(Z),,,,,,,,,,
221,Florida,2020,Oct-Dec,240000,290000,29000,10,50000,17500,6,,,,,,,,,,
222,Georgia,2020,Oct-Dec,165000,174000,30000,17,11000,11000,6,,,,,,,,,,
223,Hawaii,2020,Oct-Dec,22000,22000,2700,12,200,370,2,,,,,,,,,,
224,Idaho,2020,Oct-Dec,94000,180000,19000,11,8000,1700,1,,,,,,,,,,
226,Illinois,2020,Oct-Dec,13000,13000,1700,13,330,410,3,,,,,,,,,,
227,Indiana,2020,Oct-Dec,10000,11000,930,8,240,260,2,,,,,,,,,,
228,Iowa,2020,Oct-Dec,38000,38000,4800,13,700,850,2,,,,,,,,,,
229,Kansas,2020,Oct-Dec,6000,7000,2400,34,460,170,2,,,,,,,,,,
230,Kentucky,2020,Oct-Dec,11500,11500,1100,10,380,520,5,,,,,,,,,,
231,Louisiana,2020,Oct-Dec,46000,52000,1700,3,30,620,1,,,,,,,,,,
232,Maine,2020,Oct-Dec,9000,9000,100,1,180,250,3,,,,,,,,,,
233,Maryland,2020,Oct-Dec,6000,8000,980,12,60,460,6,,,,,,,,,,
234,Massachusetts,2020,Oct-Dec,10000,10000,390,4,270,90,1,,,,,,,,,,
235,Michigan,2020,Oct-Dec,97000,101000,10500,10,2400,1600,2,,,,,,,,,,
237,Minnesota,2020,Oct-Dec,99000,105000,9500,9,1200,340,(Z),,,,,,,,,,
238,Mississippi,2020,Oct-Dec,30000,37000,3800,10,300,30,(Z),,,,,,,,,,
239,Missouri,2020,Oct-Dec,6500,7000,750,11,20,110,2,,,,,,,,,,
240,Montana,2020,Oct-Dec,81000,92000,14000,15,3500,290,(Z),,,,,,,,,,
241,Nebraska,2020,Oct-Dec,43000,43000,7000,16,280,2500,6,,,,,,,,,,
242,New Jersey,2020,Oct-Dec,18000,18000,310,2,2000,480,3,,,,,,,,,,
243,New Mexico,2020,Oct-Dec,2400,3600,190,5,80,50,1,,,,,,,,,,
244,New York,2020,Oct-Dec,52000,52000,4100,8,2400,5000,10,,,,,,,,,,
245,North Carolina,2020,Oct-Dec,16500,22000,2500,11,200,9000,41,,,,,,,,,,
246,North Dakota,2020,Oct-Dec,445000,445000,45000,10,12500,-,-,,,,,,,,,,
248,Ohio,2020,Oct-Dec,21000,21000,1600,8,10,490,2,,,,,,,,,,
249,Oklahoma,2020,Oct-Dec,7000,28000,300,1,250,-,-,,,,,,,,,,
250,Oregon,2020,Oct-Dec,122000,123000,15500,13,7000,2600,2,,,,,,,,,,
251,Pennsylvania,2020,Oct-Dec,23000,25000,1900,8,580,440,2,,,,,,,,,,
252,South Carolina,2020,Oct-Dec,11500,18500,2600,14,270,210,1,,,,,,,,,,
253,South Dakota,2020,Oct-Dec,197000,197000,16000,8,1000,150,(Z),,,,,,,,,,
254,Tennessee,2020,Oct-Dec,13500,13500,680,5,20,640,5,,,,,,,,,,
255,Texas,2020,Oct-Dec,144000,255000,43000,17,27000,1700,1,,,,,,,,,,
256,Utah,2020,Oct-Dec,29000,29000,3800,13,1800,50,(Z),,,,,,,,,,
257,Vermont,2020,Oct-Dec,8000,8000,270,3,30,-,-,,,,,,,,,,
259,Virginia,2020,Oct-Dec,8000,8500,1000,12,70,450,5,,,,,,,,,,
260,Washington,2020,Oct-Dec,102000,103000,16500,16,6000,2000,2,,,,,,,,,,
261,West Virginia,2020,Oct-Dec,7500,7500,550,7,120,800,11,,,,,,,,,,
262,Wisconsin,2020,Oct-Dec,60000,60000,8000,13,2800,4700,8,,,,,,,,,,
263,Wyoming,2020,Oct-Dec,23000,25000,1600,6,160,380,2,,,,,,,,,,
265,Other States 5/,2020,Oct-Dec,10640,10740,2470,23,80,1300,12,,,,,,,,,,
267,United States,2020,Oct-Dec,3135340,(X),484920,15,271500,128990,4,,,,,,,,,,
281,State,2021,Jan-Mar,January 1,,,,,,,,,,,,,,,,
286,Alabama,2021,Jan-Mar,10000,10000,1200,12,670,200,2,,,,,,,,,,
287,Arizona,2021,Jan-Mar,29000,29000,7000,24,3500,180,1,,,,,,,,,,
288,Arkansas,2021,Jan-Mar,21000,21000,2200,10,790,130,1,,,,,,,,,,
289,California,2021,Jan-Mar,1240000,1550000,193000,12,76000,84000,5,,,,,,,,,,
290,Colorado,2021,Jan-Mar,3000,16500,640,4,850,30,(Z),,,,,,,,,,
291,Connecticut,2021,Jan-Mar,4200,4200,780,19,350,50,1,,,,,,,,,,
292,Florida,2021,Jan-Mar,300000,305000,31000,10,42000,17000,6,,,,,,,,,,
293,Georgia,2021,Jan-Mar,120000,120000,20000,17,34000,14500,12,,,,,,,,,,
294,Hawaii,2021,Jan-Mar,19500,19500,900,5,2400,1600,8,,,,,,,,,,
295,Idaho,2021,Jan-Mar,168000,171000,15000,9,9000,8500,5,,,,,,,,,,
297,Illinois,2021,Jan-Mar,9500,12500,3000,24,3300,200,2,,,,,,,,,,
298,Indiana,2021,Jan-Mar,10000,11000,2700,25,3500,20,(Z),,,,,,,,,,
299,Iowa,2021,Jan-Mar,15000,25000,2100,8,3100,30,(Z),,,,,,,,,,
300,Kansas,2021,Jan-Mar,5000,6500,1400,22,2300,10,(Z),,,,,,,,,,
301,Kentucky,2021,Jan-Mar,9500,9500,2100,22,2500,80,1,,,,,,,,,,
302,Louisiana,2021,Jan-Mar,51000,53000,7500,14,1100,3000,6,,,,,,,,,,
303,Maine,2021,Jan-Mar,2900,2900,300,10,60,80,3,,,,,,,,,,
304,Maryland,2021,Jan-Mar,7000,7000,1200,17,590,240,3,,,,,,,,,,
305,Massachusetts,2021,Jan-Mar,5000,5000,1000,20,30,90,2,,,,,,,,,,
306,Michigan,2021,Jan-Mar,78000,78000,1500,2,320,4100,5,,,,,,,,,,
308,Minnesota,2021,Jan-Mar,41000,68000,3200,5,2900,140,(Z),,,,,,,,,,
309,Mississippi,2021,Jan-Mar,33000,36000,5500,15,14500,3800,11,,,,,,,,,,
310,Missouri,2021,Jan-Mar,5500,5500,1500,27,780,40,1,,,,,,,,,,
311,Montana,2021,Jan-Mar,40000,51000,310,1,-,20,(Z),,,,,,,,,,
312,Nebraska,2021,Jan-Mar,11000,17500,640,4,1300,-,-,,,,,,,,,,
313,New Jersey,2021,Jan-Mar,14000,14000,360,3,610,80,1,,,,,,,,,,
314,New Mexico,2021,Jan-Mar,3500,3500,230,7,2200,-,-,,,,,,,,,,
315,New York,2021,Jan-Mar,30000,30000,4900,16,3400,380,1,,,,,,,,,,
316,North Carolina,2021,Jan-Mar,18000,21000,2100,10,2700,110,1,,,,,,,,,,
317,North Dakota,2021,Jan-Mar,51000,65000,180,(Z),2700,-,-,,,,,,,,,,
319,Ohio,2021,Jan-Mar,17500,17500,4000,23,120,20,(Z),,,,,,,,,,
320,Oklahoma,2021,Jan-Mar,28000,28000,2600,9,4100,360,1,,,,,,,,,,
321,Oregon,2021,Jan-Mar,76000,79000,3100,4,2600,610,1,,,,,,,,,,
322,Pennsylvania,2021,Jan-Mar,20000,21000,5500,26,4100,40,(Z),,,,,,,,,,
323,South Carolina,2021,Jan-Mar,15500,18500,1200,6,930,190,1,,,,,,,,,,
324,South Dakota,2021,Jan-Mar,28000,34000,450,1,-,-,-,,,,,,,,,,
325,Tennessee,2021,Jan-Mar,12000,13000,2200,17,960,310,2,,,,,,,,,,
326,Texas,2021,Jan-Mar,240000,345000,23000,7,56000,13000,4,,,,,,,,,,
327,Utah,2021,Jan-Mar,17500,18500,2500,14,4000,-,-,,,,,,,,,,
328,Vermont,2021,Jan-Mar,7500,7500,1300,17,670,70,1,,,,,,,,,,
330,Virginia,2021,Jan-Mar,7000,7000,1400,20,2300,50,1,,,,,,,,,,
331,Washington,2021,Jan-Mar,48000,67000,6000,9,5500,850,1,,,,,,,,,,
332,West Virginia,2021,Jan-Mar,7000,7500,1200,16,1700,720,10,,,,,,,,,,
333,Wisconsin,2021,Jan-Mar,25000,37000,2500,7,7000,170,(Z),,,,,,,,,,
334,Wyoming,2021,Jan-Mar,13000,14500,1700,12,500,1200,8,,,,,,,,,,
336,Other States 5/,2021,Jan-Mar,6640,6640,540,8,600,70,1,,,,,,,,,,
338,United States,2021,Jan-Mar,2923240,(X),372630,13,308530,156270,5,,,,,,,,,,
352,State,2021,Apr-Jun,April 1,,,,,,,,,,,,,,,,
357,Alabama,2021,Apr-Jun,9500,9500,2700,28,2800,930,10,,,,,,,,,,
358,Arizona,2021,Apr-Jun,26000,26000,4200,16,8500,7500,29,,,,,,,,,,
359,Arkansas,2021,Apr-Jun,12000,12000,1600,13,9000,6000,50,,,,,,,,,,
360,California,2021,Apr-Jun,1050000,1060000,64000,6,200000,180000,17,,,,,,,,,,
361,Colorado,2021,Apr-Jun,17000,22000,5500,25,4800,1100,5,,,,,,,,,,
362,Connecticut,2021,Apr-Jun,3800,4000,60,2,960,400,10,,,,,,,,,,
363,Florida,2021,Apr-Jun,300000,300000,33000,11,52000,31000,10,,,,,,,,,,
364,Georgia,2021,Apr-Jun,135000,136000,20000,15,25000,18500,14,,,,,,,,,,
365,Hawaii,2021,Apr-Jun,21000,21000,630,3,460,1200,6,,,,,,,,,,
366,Idaho,2021,Apr-Jun,86000,120000,19500,16,40000,19000,16,,,,,,,,,,
368,Illinois,2021,Apr-Jun,13000,13000,1100,8,3700,2100,16,,,,,,,,,,
369,Indiana,2021,Apr-Jun,12000,12500,560,4,4000,1000,8,,,,,,,,,,
370,Iowa,2021,Apr-Jun,26000,27000,2200,8,10500,3900,14,,,,,,,,,,
371,Kansas,2021,Apr-Jun,7500,8000,870,11,4900,1600,20,,,,,,,,,,
372,Kentucky,2021,Apr-Jun,10000,11500,270,2,2100,4500,39,,,,,,,,,,
373,Louisiana,2021,Apr-Jun,29000,30000,2300,8,8000,2000,7,,,,,,,,,,
374,Maine,2021,Apr-Jun,2000,18000,1100,6,430,260,1,,,,,,,,,,
375,Maryland,2021,Apr-Jun,6500,7500,320,4,2600,690,9,,,,,,,,,,
376,Massachusetts,2021,Apr-Jun,4000,10000,810,8,1400,310,3,,,,,,,,,,
377,Michigan,2021,Apr-Jun,75000,97000,3500,4,10000,8000,8,,,,,,,,,,
379,Minnesota,2021,Apr-Jun,69000,98000,5500,6,28000,4000,4,,,,,,,,,,
380,Mississippi,2021,Apr-Jun,34000,35000,4800,14,9000,8000,23,,,,,,,,,,
381,Missouri,2021,Apr-Jun,4800,4800,670,14,2000,670,14,,,,,,,,,,
382,Montana,2021,Apr-Jun,38000,116000,3100,3,13500,15500,13,,,,,,,,,,
383,Nebraska,2021,Apr-Jun,18500,37000,1800,5,8500,810,2,,,,,,,,,,
384,New Jersey,2021,Apr-Jun,14500,19500,410,2,1400,140,1,,,,,,,,,,
385,New Mexico,2021,Apr-Jun,5500,5500,540,10,80,2300,42,,,,,,,,,,
386,New York,2021,Apr-Jun,29000,50000,3000,6,14500,4100,8,,,,,,,,,,
387,North Carolina,2021,Apr-Jun,22000,23000,1700,7,6000,3300,14,,,,,,,,,,
388,North Dakota,2021,Apr-Jun,42000,395000,4400,1,4800,3500,1,,,,,,,,,,
390,Ohio,2021,Apr-Jun,13000,13500,820,6,6500,2400,18,,,,,,,,,,
391,Oklahoma,2021,Apr-Jun,17000,17000,3600,21,4200,190,1,,,,,,,,,,
392,Oregon,2021,Apr-Jun,80000,84000,3300,4,25000,19500,23,,,,,,,,,,
393,Pennsylvania,2021,Apr-Jun,20000,23000,2100,9,7000,2800,12,,,,,,,,,,
394,South Carolina,2021,Apr-Jun,18500,19500,1800,9,4100,5000,26,,,,,,,,,,
395,South Dakota,2021,Apr-Jun,16500,198000,6500,3,39000,19000,10,,,,,,,,,,
396,Tennessee,2021,Apr-Jun,12000,12000,720,6,4800,3400,28,,,,,,,,,,
397,Texas,2021,Apr-Jun,385000,425000,34000,8,65000,72000,17,,,,,,,,,,
398,Utah,2021,Apr-Jun,20000,31000,3500,11,8500,3900,13,,,,,,,,,,
399,Vermont,2021,Apr-Jun,7000,7000,40,1,770,570,8,,,,,,,,,,
401,Virginia,2021,Apr-Jun,8000,8500,530,6,3100,820,10,,,,,,,,,,
402,Washington,2021,Apr-Jun,66000,122000,2900,2,9500,2600,2,,,,,,,,,,
403,West Virginia,2021,Apr-Jun,8000,9000,170,2,1900,390,4,,,,,,,,,,
404,Wisconsin,2021,Apr-Jun,42000,57000,2200,4,9000,7500,13,,,,,,,,,,
405,Wyoming,2021,Apr-Jun,13500,30000,3400,11,7500,4900,16,,,,,,,,,,
407,Other States 5/,2021,Apr-Jun,5970,8410,140,2,2890,3100,37,,,,,,,,,,
409,United States,2021,Apr-Jun,2855070,(X),255860,9,677690,480380,17,,,,,,,,,,
