,State,year,quarter,January 1,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
398,Utah,2021,Apr-Jun,20000,31000,3500,11,8500,3900,13
399,Vermont,2021,Apr-Jun,7000,7000,40,1,770,570,8
401,Virginia,2021,Apr-Jun,8000,8500,530,6,3100,820,10
402,Washington,2021,Apr-Jun,66000,122000,2900,2,9500,2600,2
403,West Virginia,2021,Apr-Jun,8000,9000,170,2,1900,390,4
404,Wisconsin,2021,Apr-Jun,42000,57000,2200,4,9000,7500,13
405,Wyoming,2021,Apr-Jun,13500,30000,3400,11,7500,4900,16
407,Other States 5/,2021,Apr-Jun,5970,8410,140,2,2890,3100,37
409,United States,2021,Apr-Jun,2855070,(X),255860,9,677690,480380,17
422,State,2020,Jan-Mar,mites,and parasites 1/,Diseases 2/,Pesticides,Other 3/,Unknown,
425,Alabama,2020,Jan-Mar,12.4,3.4,-,0.1,1.7,4.3,
426,Arizona,2020,Jan-Mar,31.7,(Z),(Z),-,10.1,9.0,
427,Arkansas,2020,Jan-Mar,31.7,22.7,(Z),2.6,(Z),11.2,
428,California,2020,Jan-Mar,22.4,6.0,5.0,5.3,5.3,4.2,
429,Colorado,2020,Jan-Mar,20.8,-,(Z),(Z),10.8,2.4,
430,Connecticut,2020,Jan-Mar,11.2,2.9,(Z),-,2.8,3.0,
431,Florida,2020,Jan-Mar,28.0,14.2,5.5,5.3,8.7,10.9,
432,Georgia,2020,Jan-Mar,50.9,3.4,(Z),(Z),(Z),7.5,
433,Hawaii,2020,Jan-Mar,75.3,60.8,(Z),-,(Z),(Z),
434,Idaho,2020,Jan-Mar,10.4,0.8,(Z),2.8,2.1,1.9,
436,Illinois,2020,Jan-Mar,17.2,8.9,(Z),-,7.3,10.0,
437,Indiana,2020,Jan-Mar,8.2,0.5,(Z),2.9,1.9,6.2,
438,Iowa,2020,Jan-Mar,22.3,1.9,-,(Z),5.7,5.5,
439,Kansas,2020,Jan-Mar,13.3,8.1,7.8,7.8,3.1,11.3,
440,Kentucky,2020,Jan-Mar,17.4,2.6,2.0,(Z),7.6,6.5,
441,Louisiana,2020,Jan-Mar,26.5,7.0,0.7,1.2,1.4,0.6,
442,Maine,2020,Jan-Mar,19.6,1.2,0.7,-,2.2,3.0,
443,Maryland,2020,Jan-Mar,19.9,1.5,(Z),-,8.5,2.4,
444,Massachusetts,2020,Jan-Mar,13.9,0.5,1.8,(Z),4.5,2.2,
445,Michigan,2020,Jan-Mar,8.1,0.5,(Z),(Z),(Z),0.7,
447,Minnesota,2020,Jan-Mar,3.5,-,-,(Z),4.3,(Z),
448,Mississippi,2020,Jan-Mar,58.6,50.9,(Z),1.8,14.5,3.6,
449,Missouri,2020,Jan-Mar,8.4,3.4,0.9,1.6,2.1,3.4,
450,Montana,2020,Jan-Mar,4.0,-,-,-,0.5,(Z),
451,Nebraska,2020,Jan-Mar,2.2,(Z),(Z),-,(Z),0.8,
452,New Jersey,2020,Jan-Mar,9.4,2.9,0.5,(Z),3.2,2.3,
453,New Mexico,2020,Jan-Mar,2.1,-,-,-,0.7,(Z),
454,New York,2020,Jan-Mar,6.6,2.9,-,-,1.7,7.7,
455,North Carolina,2020,Jan-Mar,35.7,7.1,4.8,0.6,1.4,5.1,
456,North Dakota,2020,Jan-Mar,0.6,-,-,-,3.1,-,
458,Ohio,2020,Jan-Mar,17.6,3.6,1.1,(Z),3.0,13.4,
459,Oklahoma,2020,Jan-Mar,11.4,0.6,(Z),0.5,(Z),(Z),
460,Oregon,2020,Jan-Mar,24.4,10.4,10.8,14.5,1.3,(Z),
461,Pennsylvania,2020,Jan-Mar,15.5,3.9,2.8,1.8,2.7,3.2,
462,South Carolina,2020,Jan-Mar,15.5,11.5,9.6,(Z),6.4,5.4,
463,South Dakota,2020,Jan-Mar,14.7,(Z),-,2.1,(Z),(Z),
464,Tennessee,2020,Jan-Mar,18.9,17.3,1.0,-,4.1,7.8,
465,Texas,2020,Jan-Mar,12.2,6.8,1.3,3.4,5.2,4.6,
466,Utah,2020,Jan-Mar,38.9,17.2,17.1,2.3,15.7,22.4,
467,Vermont,2020,Jan-Mar,9.1,0.8,0.6,0.9,2.0,3.1,
469,Virginia,2020,Jan-Mar,17.5,10.6,(Z),(Z),3.8,3.5,
470,Washington,2020,Jan-Mar,1.7,(Z),(Z),0.5,(Z),(Z),
471,West Virginia,2020,Jan-Mar,17.3,7.0,1.3,0.6,2.6,(Z),
472,Wisconsin,2020,Jan-Mar,9.0,1.9,(Z),(Z),2.7,3.1,
473,Wyoming,2020,Jan-Mar,(Z),(Z),0.1,-,0.8,1.7,
475,Other States 4/,2020,Jan-Mar,5.8,-,(Z),-,0.8,(Z),
477,United States,2020,Jan-Mar,25.5,8.0,4.4,5.0,5.6,5.4,
490,State,2020,Apr-Jun,mites,and parasites 1/,Diseases 2/,Pesticides,Other 3/,Unknown,
493,Alabama,2020,Apr-Jun,28.5,18.0,1.6,7.7,7.9,9.5,
494,Arizona,2020,Apr-Jun,22.1,-,(Z),4.2,5.5,0.6,
495,Arkansas,2020,Apr-Jun,40.5,15.3,5.1,24.6,2.1,12.4,
496,California,2020,Apr-Jun,33.6,4.8,3.9,5.5,7.6,3.1,
497,Colorado,2020,Apr-Jun,35.4,(Z),(Z),-,0.5,2.5,
498,Connecticut,2020,Apr-Jun,14.8,2.1,-,-,0.1,0.6,
499,Florida,2020,Apr-Jun,33.1,16.0,3.4,5.8,5.9,7.9,
500,Georgia,2020,Apr-Jun,47.9,19.6,6.9,2.9,7.9,13.4,
501,Hawaii,2020,Apr-Jun,43.1,41.1,1.0,-,1.1,-,
502,Idaho,2020,Apr-Jun,44.2,10.9,11.1,8.6,6.9,5.8,
504,Illinois,2020,Apr-Jun,23.5,8.2,1.0,8.3,11.9,4.0,
505,Indiana,2020,Apr-Jun,26.8,12.5,1.8,20.2,5.4,1.5,
506,Iowa,2020,Apr-Jun,30.6,24.7,16.6,0.8,3.5,0.5,
507,Kansas,2020,Apr-Jun,68.4,34.1,24.0,32.8,28.9,14.3,
508,Kentucky,2020,Apr-Jun,18.3,10.9,(Z),1.2,2.9,3.2,
509,Louisiana,2020,Apr-Jun,23.7,4.7,0.5,(Z),3.5,1.3,
510,Maine,2020,Apr-Jun,47.1,(Z),26.8,-,0.5,-,
511,Maryland,2020,Apr-Jun,14.3,1.1,0.1,1.1,3.2,0.5,
512,Massachusetts,2020,Apr-Jun,14.7,2.1,(Z),(Z),1.1,(Z),
513,Michigan,2020,Apr-Jun,38.0,11.5,2.2,6.0,3.2,1.1,
515,Minnesota,2020,Apr-Jun,20.6,2.9,0.7,8.8,4.4,(Z),
516,Mississippi,2020,Apr-Jun,93.1,57.8,-,0.9,8.5,(Z),
517,Missouri,2020,Apr-Jun,17.4,1.5,5.7,3.1,11.2,1.9,
518,Montana,2020,Apr-Jun,12.1,5.6,5.9,-,4.6,(Z),
519,Nebraska,2020,Apr-Jun,17.5,1.1,4.8,12.2,(Z),2.7,
520,New Jersey,2020,Apr-Jun,15.4,0.8,21.5,(Z),21.7,(Z),
521,New Mexico,2020,Apr-Jun,3.0,(Z),(Z),(Z),(Z),(Z),
522,New York,2020,Apr-Jun,20.7,2.5,0.6,(Z),3.5,0.5,
523,North Carolina,2020,Apr-Jun,23.0,5.5,1.9,-,1.8,1.4,
524,North Dakota,2020,Apr-Jun,28.8,1.7,2.5,3.1,3.0,1.9,
526,Ohio,2020,Apr-Jun,23.8,12.0,6.2,5.8,7.3,13.3,
527,Oklahoma,2020,Apr-Jun,16.2,3.9,(Z),0.9,15.1,5.1,
528,Oregon,2020,Apr-Jun,28.0,1.7,7.5,2.2,5.9,0.7,
529,Pennsylvania,2020,Apr-Jun,26.6,2.6,1.4,(Z),3.3,1.3,
530,South Carolina,2020,Apr-Jun,29.1,6.2,0.5,(Z),5.7,0.5,
531,South Dakota,2020,Apr-Jun,53.3,46.4,4.8,(Z),52.5,5.3,
532,Tennessee,2020,Apr-Jun,31.2,7.8,(Z),6.8,3.3,3.0,
533,Texas,2020,Apr-Jun,30.2,7.7,3.3,4.6,5.7,5.8,
534,Utah,2020,Apr-Jun,38.4,-,(Z),13.1,(Z),7.7,
535,Vermont,2020,Apr-Jun,10.7,0.5,0.1,-,1.1,-,
537,Virginia,2020,Apr-Jun,33.7,7.9,(Z),(Z),7.9,1.1,
538,Washington,2020,Apr-Jun,10.6,(Z),0.7,1.0,1.3,(Z),
539,West Virginia,2020,Apr-Jun,46.2,1.8,0.7,0.5,2.8,1.9,
540,Wisconsin,2020,Apr-Jun,46.1,27.3,25.0,25.1,25.8,26.1,
541,Wyoming,2020,Apr-Jun,28.8,(Z),0.1,1.1,3.5,1.2,
543,Other States 4/,2020,Apr-Jun,12.8,0.8,0.5,-,(Z),(Z),
545,United States,2020,Apr-Jun,43.1,12.5,5.5,6.2,11.2,5.4,
558,State,2020,Jul-Sep,mites,and parasites 1/,Diseases 2/,Pesticides,Other 3/,Unknown,
561,Alabama,2020,Jul-Sep,64.9,29.1,-,12.0,5.4,11.7,
562,Arizona,2020,Jul-Sep,24.1,(Z),1.9,1.7,9.3,12.2,
563,Arkansas,2020,Jul-Sep,33.9,15.6,3.9,13.9,1.3,8.6,
564,California,2020,Jul-Sep,33.9,11.4,7.3,6.3,8.1,3.6,
565,Colorado,2020,Jul-Sep,23.1,1.1,(Z),-,6.3,19.8,
566,Connecticut,2020,Jul-Sep,20.2,1.4,-,-,4.0,-,
567,Florida,2020,Jul-Sep,42.2,19.9,12.8,14.8,7.9,10.9,
568,Georgia,2020,Jul-Sep,49.6,22.5,3.5,3.4,5.3,13.0,
569,Hawaii,2020,Jul-Sep,62.7,63.5,(Z),(Z),0.5,(Z),
570,Idaho,2020,Jul-Sep,45.0,2.6,6.7,10.9,9.0,3.8,
572,Illinois,2020,Jul-Sep,28.1,15.6,1.8,4.9,6.6,8.4,
573,Indiana,2020,Jul-Sep,41.4,12.0,1.7,24.5,0.7,1.3,
574,Iowa,2020,Jul-Sep,49.1,29.4,3.9,6.3,4.5,(Z),
575,Kansas,2020,Jul-Sep,93.8,24.8,15.6,34.1,2.1,(Z),
576,Kentucky,2020,Jul-Sep,23.3,4.0,1.4,1.6,2.4,5.1,
577,Louisiana,2020,Jul-Sep,27.2,14.4,4.7,0.8,3.6,3.4,
578,Maine,2020,Jul-Sep,65.2,2.5,0.7,-,4.6,6.2,
579,Maryland,2020,Jul-Sep,17.6,4.8,(Z),(Z),0.6,2.9,
580,Massachusetts,2020,Jul-Sep,29.7,1.6,1.5,0.8,1.2,0.7,
581,Michigan,2020,Jul-Sep,53.1,14.5,3.4,8.9,5.9,1.0,
583,Minnesota,2020,Jul-Sep,46.3,3.7,(Z),8.2,2.2,1.7,
584,Mississippi,2020,Jul-Sep,45.7,41.8,(Z),(Z),3.3,6.2,
585,Missouri,2020,Jul-Sep,30.8,8.8,(Z),1.1,2.4,2.4,
586,Montana,2020,Jul-Sep,36.6,2.1,0.9,(Z),8.6,1.2,
587,Nebraska,2020,Jul-Sep,23.4,0.8,3.3,19.8,21.4,(Z),
588,New Jersey,2020,Jul-Sep,21.7,5.6,-,16.3,(Z),(Z),
589,New Mexico,2020,Jul-Sep,33.8,32.9,-,-,0.5,(Z),
590,New York,2020,Jul-Sep,18.2,7.8,6.3,3.3,2.1,1.1,
591,North Carolina,2020,Jul-Sep,70.5,17.9,(Z),(Z),(Z),(Z),
592,North Dakota,2020,Jul-Sep,61.3,15.9,12.3,4.1,9.3,1.4,
594,Ohio,2020,Jul-Sep,28.6,10.4,0.8,3.7,10.8,1.4,
595,Oklahoma,2020,Jul-Sep,52.4,8.0,0.9,1.7,2.4,0.8,
596,Oregon,2020,Jul-Sep,42.4,2.5,3.8,0.5,7.1,2.4,
597,Pennsylvania,2020,Jul-Sep,32.2,12.3,1.2,1.6,5.5,2.3,
598,South Carolina,2020,Jul-Sep,27.1,28.9,(Z),6.2,1.5,0.9,
599,South Dakota,2020,Jul-Sep,87.0,7.0,2.1,64.9,61.4,2.0,
600,Tennessee,2020,Jul-Sep,37.7,15.5,2.3,0.5,2.4,2.2,
601,Texas,2020,Jul-Sep,20.2,13.6,2.0,6.7,1.6,0.6,
602,Utah,2020,Jul-Sep,61.7,(Z),(Z),31.6,3.7,3.9,
603,Vermont,2020,Jul-Sep,26.6,0.7,0.9,3.8,0.9,(Z),
605,Virginia,2020,Jul-Sep,27.5,8.3,(Z),(Z),4.1,5.8,
606,Washington,2020,Jul-Sep,19.2,(Z),(Z),10.5,1.3,0.6,
607,West Virginia,2020,Jul-Sep,17.7,10.1,4.7,4.7,1.7,2.6,
608,Wisconsin,2020,Jul-Sep,43.1,22.8,12.9,26.1,13.8,20.4,
609,Wyoming,2020,Jul-Sep,13.4,(Z),0.7,5.9,1.8,0.9,
611,Other States 4/,2020,Jul-Sep,76.4,7.1,(Z),6.3,14.1,(Z),
613,United States,2020,Jul-Sep,55.7,12.8,6.1,21.7,13.8,4.1,
626,State,2020,Oct-Dec,mites,and parasites 1/,Diseases 2/,Pesticides,Other 3/,Unknown,
629,Alabama,2020,Oct-Dec,50.8,43.2,15.4,2.0,2.3,16.9,
630,Arizona,2020,Oct-Dec,22.5,(Z),(Z),4.5,2.3,18.3,
631,Arkansas,2020,Oct-Dec,43.1,12.9,1.7,12.8,5.9,5.7,
632,California,2020,Oct-Dec,45.5,11.1,7.1,4.8,4.2,4.0,
633,Colorado,2020,Oct-Dec,14.9,-,(Z),-,0.9,1.5,
634,Connecticut,2020,Oct-Dec,49.4,0.9,0.1,-,4.3,8.2,
635,Florida,2020,Oct-Dec,45.7,21.7,10.4,19.6,2.3,7.5,
636,Georgia,2020,Oct-Dec,35.5,12.9,1.8,7.5,1.9,6.7,
637,Hawaii,2020,Oct-Dec,57.2,65.2,(Z),-,2.9,-,
638,Idaho,2020,Oct-Dec,52.1,8.9,4.3,4.8,4.8,5.4,
640,Illinois,2020,Oct-Dec,26.4,9.8,1.1,2.9,2.7,6.9,
641,Indiana,2020,Oct-Dec,26.3,4.1,(Z),1.9,2.4,5.7,
642,Iowa,2020,Oct-Dec,39.8,0.9,2.6,(Z),1.8,1.4,
643,Kansas,2020,Oct-Dec,37.7,30.3,1.2,33.3,26.4,25.9,
644,Kentucky,2020,Oct-Dec,23.8,8.8,-,-,8.2,9.0,
645,Louisiana,2020,Oct-Dec,22.2,2.9,-,(Z),2.9,(Z),
646,Maine,2020,Oct-Dec,30.8,(Z),0.5,-,1.2,0.6,
647,Maryland,2020,Oct-Dec,27.5,1.8,1.5,0.7,6.2,2.1,
648,Massachusetts,2020,Oct-Dec,17.4,1.2,(Z),(Z),(Z),0.9,
649,Michigan,2020,Oct-Dec,42.9,5.4,5.3,3.1,3.6,4.3,
651,Minnesota,2020,Oct-Dec,17.2,1.6,1.0,19.2,1.8,2.6,
652,Mississippi,2020,Oct-Dec,7.8,1.5,-,0.6,7.8,5.9,
653,Missouri,2020,Oct-Dec,13.1,7.9,(Z),0.5,3.1,0.8,
654,Montana,2020,Oct-Dec,15.1,11.6,11.6,2.6,4.4,6.0,
655,Nebraska,2020,Oct-Dec,3.6,(Z),0.5,(Z),1.4,6.3,
656,New Jersey,2020,Oct-Dec,6.8,2.1,0.5,0.6,0.2,0.7,
657,New Mexico,2020,Oct-Dec,15.7,(Z),1.0,-,2.0,0.9,
658,New York,2020,Oct-Dec,19.2,7.2,(Z),(Z),4.5,4.1,
659,North Carolina,2020,Oct-Dec,37.7,14.0,(Z),5.1,0.6,1.9,
660,North Dakota,2020,Oct-Dec,60.2,0.5,5.1,11.5,1.1,5.5,
662,Ohio,2020,Oct-Dec,42.4,12.4,0.9,6.4,2.5,1.7,
663,Oklahoma,2020,Oct-Dec,2.3,1.1,(Z),(Z),(Z),0.8,
664,Oregon,2020,Oct-Dec,28.5,4.6,3.7,1.6,3.8,3.9,
665,Pennsylvania,2020,Oct-Dec,28.1,3.9,1.3,1.9,1.8,2.6,
666,South Carolina,2020,Oct-Dec,22.9,4.2,-,1.3,2.7,3.8,
667,South Dakota,2020,Oct-Dec,22.6,1.4,6.5,4.5,(Z),1.8,
668,Tennessee,2020,Oct-Dec,33.8,25.4,(Z),5.1,2.1,5.2,
669,Texas,2020,Oct-Dec,27.4,6.5,(Z),5.0,5.7,9.6,
670,Utah,2020,Oct-Dec,49.5,(Z),(Z),6.8,0.7,17.6,
671,Vermont,2020,Oct-Dec,10.0,(Z),0.5,-,0.6,(Z),
673,Virginia,2020,Oct-Dec,30.3,13.6,1.6,2.0,5.4,2.9,
674,Washington,2020,Oct-Dec,25.5,20.2,22.9,2.6,4.7,4.4,
675,West Virginia,2020,Oct-Dec,7.2,4.3,(Z),1.0,4.5,1.1,
676,Wisconsin,2020,Oct-Dec,29.3,0.6,(Z),7.4,1.8,1.2,
677,Wyoming,2020,Oct-Dec,19.2,-,(Z),2.4,2.2,1.4,
679,Other States 4/,2020,Oct-Dec,44.5,1.1,(Z),(Z),12.5,7.4,
681,United States,2020,Oct-Dec,48.6,11.0,6.8,8.0,4.1,6.3,
694,State,2021,Jan-Mar,mites,and parasites 1/,Diseases 2/,Pesticides,Other 3/,Unknown,
697,Alabama,2021,Jan-Mar,52.2,30.3,-,(Z),3.1,4.0,
698,Arizona,2021,Jan-Mar,4.6,5.9,5.9,-,0.5,4.2,
699,Arkansas,2021,Jan-Mar,28.5,19.6,(Z),14.2,3.8,2.6,
700,California,2021,Jan-Mar,29.9,5.7,1.7,7.2,6.2,3.4,
701,Colorado,2021,Jan-Mar,2.1,-,-,-,1.1,7.8,
702,Connecticut,2021,Jan-Mar,17.8,3.5,-,0.5,1.6,1.0,
703,Florida,2021,Jan-Mar,34.7,11.9,5.6,6.6,6.3,3.4,
704,Georgia,2021,Jan-Mar,47.9,14.4,8.9,1.5,4.1,4.6,
705,Hawaii,2021,Jan-Mar,49.0,52.2,-,-,4.7,-,
706,Idaho,2021,Jan-Mar,33.3,10.7,-,9.5,1.8,1.7,
708,Illinois,2021,Jan-Mar,28.8,12.9,1.6,1.3,17.9,9.4,
709,Indiana,2021,Jan-Mar,34.4,5.4,-,0.7,4.8,4.5,
710,Iowa,2021,Jan-Mar,18.9,0.7,(Z),3.7,7.8,3.8,
711,Kansas,2021,Jan-Mar,25.7,2.8,-,-,19.1,2.2,
712,Kentucky,2021,Jan-Mar,27.5,16.9,(Z),-,5.1,9.3,
713,Louisiana,2021,Jan-Mar,61.4,8.5,-,1.6,8.2,0.9,
714,Maine,2021,Jan-Mar,7.2,2.6,(Z),-,2.2,2.1,
715,Maryland,2021,Jan-Mar,34.6,1.1,-,(Z),19.7,2.7,
716,Massachusetts,2021,Jan-Mar,28.9,3.6,1.0,0.5,7.8,4.5,
717,Michigan,2021,Jan-Mar,2.3,(Z),(Z),(Z),0.7,1.6,
719,Minnesota,2021,Jan-Mar,6.3,0.6,(Z),2.5,2.8,(Z),
720,Mississippi,2021,Jan-Mar,9.7,3.8,-,1.0,10.6,4.7,
721,Missouri,2021,Jan-Mar,16.6,5.6,(Z),0.8,13.1,10.3,
722,Montana,2021,Jan-Mar,(Z),-,(Z),-,(Z),(Z),
723,Nebraska,2021,Jan-Mar,-,-,-,1.5,1.7,0.7,
724,New Jersey,2021,Jan-Mar,18.7,1.5,1.0,1.3,1.2,0.8,
725,New Mexico,2021,Jan-Mar,14.2,0.1,-,-,6.5,1.9,
726,New York,2021,Jan-Mar,15.0,3.9,0.6,0.5,5.7,4.8,
727,North Carolina,2021,Jan-Mar,23.7,7.3,(Z),(Z),0.6,0.5,
728,North Dakota,2021,Jan-Mar,(Z),(Z),-,-,(Z),(Z),
730,Ohio,2021,Jan-Mar,26.6,14.4,2.9,2.0,8.2,4.9,
731,Oklahoma,2021,Jan-Mar,7.6,(Z),-,(Z),4.2,2.0,
732,Oregon,2021,Jan-Mar,12.9,10.7,1.4,(Z),1.2,0.6,
733,Pennsylvania,2021,Jan-Mar,18.1,11.6,(Z),-,6.8,8.2,
734,South Carolina,2021,Jan-Mar,48.5,10.1,(Z),3.2,4.1,0.9,
735,South Dakota,2021,Jan-Mar,8.6,(Z),-,(Z),(Z),0.8,
736,Tennessee,2021,Jan-Mar,34.4,5.2,1.4,0.8,2.6,8.9,
737,Texas,2021,Jan-Mar,18.5,13.8,1.6,6.0,7.7,(Z),
738,Utah,2021,Jan-Mar,45.4,0.9,-,2.4,1.0,11.2,
739,Vermont,2021,Jan-Mar,21.1,(Z),3.7,-,10.1,(Z),
741,Virginia,2021,Jan-Mar,11.9,1.0,-,1.9,3.9,4.9,
742,Washington,2021,Jan-Mar,15.5,2.4,1.0,(Z),5.3,(Z),
743,West Virginia,2021,Jan-Mar,13.7,3.4,0.7,2.6,1.2,3.3,
744,Wisconsin,2021,Jan-Mar,16.1,(Z),(Z),-,3.6,3.2,
745,Wyoming,2021,Jan-Mar,(Z),(Z),(Z),-,3.3,7.9,
747,Other States 4/,2021,Jan-Mar,19.4,1.2,4.1,(Z),6.8,1.1,
749,United States,2021,Jan-Mar,31.3,8.8,2.2,6.3,6.5,3.3,
762,State,2021,Apr-Jun,mites,and parasites 1/,Diseases 2/,Pesticides,Other 3/,Unknown,
765,Alabama,2021,Apr-Jun,55.2,45.0,0.5,2.1,5.8,26.0,
766,Arizona,2021,Apr-Jun,6.4,(Z),3.6,1.2,7.1,6.9,
767,Arkansas,2021,Apr-Jun,44.0,23.0,5.9,2.9,2.1,3.7,
768,California,2021,Apr-Jun,42.4,11.5,7.7,16.1,11.6,3.8,
769,Colorado,2021,Apr-Jun,47.6,(Z),-,(Z),(Z),3.3,
770,Connecticut,2021,Apr-Jun,16.0,0.7,0.1,(Z),1.2,-,
771,Florida,2021,Apr-Jun,43.3,22.8,4.3,10.2,6.3,7.7,
772,Georgia,2021,Apr-Jun,44.5,13.7,5.2,2.8,5.2,5.8,
773,Hawaii,2021,Apr-Jun,93.3,65.3,-,(Z),(Z),(Z),
774,Idaho,2021,Apr-Jun,31.9,1.9,5.4,9.9,2.0,6.2,
776,Illinois,2021,Apr-Jun,22.7,3.1,1.1,2.5,2.8,5.2,
777,Indiana,2021,Apr-Jun,22.8,7.3,0.6,7.0,7.5,1.6,
778,Iowa,2021,Apr-Jun,7.1,1.3,0.6,(Z),1.3,8.2,
779,Kansas,2021,Apr-Jun,45.7,21.2,7.2,8.5,1.5,6.5,
780,Kentucky,2021,Apr-Jun,21.5,4.0,1.0,2.2,4.2,2.6,
781,Louisiana,2021,Apr-Jun,30.6,3.6,(Z),(Z),20.3,0.9,
782,Maine,2021,Apr-Jun,14.1,-,(Z),-,1.5,-,
783,Maryland,2021,Apr-Jun,17.4,9.0,(Z),0.7,2.0,1.4,
784,Massachusetts,2021,Apr-Jun,45.5,44.3,(Z),44.0,0.5,-,
785,Michigan,2021,Apr-Jun,45.1,2.7,0.8,3.5,0.9,(Z),
787,Minnesota,2021,Apr-Jun,12.9,(Z),(Z),12.6,1.1,1.0,
788,Mississippi,2021,Apr-Jun,46.7,11.3,3.2,0.5,3.2,9.9,
789,Missouri,2021,Apr-Jun,15.4,6.2,1.3,0.6,5.8,4.6,
790,Montana,2021,Apr-Jun,20.8,-,1.5,13.3,5.2,3.0,
791,Nebraska,2021,Apr-Jun,17.4,(Z),(Z),7.4,3.2,1.3,
792,New Jersey,2021,Apr-Jun,11.4,5.3,-,2.6,1.7,1.3,
793,New Mexico,2021,Apr-Jun,64.6,-,0.1,2.5,-,(Z),
794,New York,2021,Apr-Jun,35.8,3.9,0.5,1.7,2.3,3.5,
795,North Carolina,2021,Apr-Jun,35.8,3.5,(Z),(Z),(Z),(Z),
796,North Dakota,2021,Apr-Jun,29.9,0.7,(Z),(Z),2.0,(Z),
798,Ohio,2021,Apr-Jun,68.2,41.4,7.3,3.3,7.7,3.4,
799,Oklahoma,2021,Apr-Jun,3.1,2.1,(Z),(Z),7.0,1.0,
800,Oregon,2021,Apr-Jun,17.2,8.3,6.2,10.1,6.5,1.8,
801,Pennsylvania,2021,Apr-Jun,21.8,5.1,1.3,2.7,1.2,0.5,
802,South Carolina,2021,Apr-Jun,50.1,43.8,2.3,(Z),9.4,5.1,
803,South Dakota,2021,Apr-Jun,51.8,12.6,3.7,4.2,49.5,0.8,
804,Tennessee,2021,Apr-Jun,22.4,10.3,(Z),2.4,3.1,(Z),
805,Texas,2021,Apr-Jun,38.1,3.4,(Z),11.5,5.7,(Z),
806,Utah,2021,Apr-Jun,40.1,25.8,10.4,18.7,(Z),1.4,
807,Vermont,2021,Apr-Jun,28.8,(Z),(Z),-,0.5,-,
809,Virginia,2021,Apr-Jun,13.3,6.3,3.6,2.1,2.7,3.7,
810,Washington,2021,Apr-Jun,31.7,19.1,18.4,1.2,4.7,(Z),
811,West Virginia,2021,Apr-Jun,5.2,3.9,1.1,-,1.0,2.2,
812,Wisconsin,2021,Apr-Jun,14.9,17.8,1.1,22.3,1.0,2.0,
813,Wyoming,2021,Apr-Jun,8.3,0.9,(Z),6.9,1.5,2.4,
815,Other States 4/,2021,Apr-Jun,60.3,(Z),(Z),4.8,5.9,5.0,
817,United States,2021,Apr-Jun,48.7,12.8,5.5,12.3,11.3,3.9,
829,Year,,,January-March,April-June,July-September,October-December,,,
832,2020,,,105240,48270,78190,116910,,,
833,2021,,,76930,49620,,,,,
